發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月06日 12時47分00秒,宜蘭縣羅東鎮仁愛路3段口 / 宜蘭縣羅東鎮復興路3段口,死亡1;受傷0,自用-小客車;普通重型-機車,121.762810,24.699133
110年01月06日 16時51分00秒,臺中市梧棲區橋柱P353前,死亡1;受傷1,普通重型-機車;自用-小客車,120.526622,24.227253
110年01月06日 17時35分00秒,臺中市沙鹿區沙鹿交流道機車道(匝道旁),死亡1;受傷1,普通重型-機車;乘客-人,120.592521,24.250328
110年01月06日 19時14分00秒,臺中市北屯區陳平里中平路 / 臺中市北屯區陳平里敦化路二段,死亡1;受傷1,普通重型-機車;普通重型-機車,120.663479,24.185442
110年01月06日 21時50分00秒,屏東縣竹田鄉光明路4之5號,死亡1;受傷0,普通重型-機車,120.529530,22.620011
110年01月07日 00時44分00秒,臺北市中山區復興北路 / 臺北市中山區民生東路3段,死亡1;受傷0,自用-小客車;行人-人,121.544018,25.057853
110年01月07日 04時08分00秒,臺南市東區東門路2段411號,死亡1;受傷0,普通重型-機車,120.229231,22.981324
110年01月07日 15時44分00秒,彰化縣員林市東北里山腳路6段337號前0.0公尺前,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.591547,23.979805
110年01月08日 04時53分00秒,屏東縣屏東市建國路382-2號前0.0公尺附近,死亡1;受傷0,行人-人;自用-小客車,120.467524,22.658249
110年01月08日 10時45分00秒,新北市泰山區新北市泰山區民權街31號與民權街,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,121.428966,25.050740
110年01月08日 13時03分00秒,彰化縣大村鄉村上村中正東路153-1號前0.0公尺西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.568079,23.989428
110年01月08日 15時29分00秒,臺南市仁德區太子里太子路與土庫路口,死亡1;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車,120.257223,22.991556
110年01月08日 16時19分00秒,高雄市林園區中門路333號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.366022,22.508725
110年01月08日 17時38分00秒,高雄市梓官區公館路石潭橋號前0.0公尺,死亡1;受傷0,普通重型-機車;農耕用車(或機械)-其他車,120.273947,22.771166
110年01月08日 17時56分56秒,屏東縣萬丹鄉水仙村大仁路199巷與大仁路(往西10公尺處),死亡1;受傷0,普通重型-機車;自用-大貨車,120.486166,22.549821
110年01月09日 04時53分00秒,臺南市中西區民生路2段西側 / 臺南市中西區康樂街南側,死亡1;受傷0,計程車-小客車;普通重型-機車,120.195274,22.995693
110年01月09日 12時14分22秒,臺南市東山區聖賢里區道南314線北勢寮91之2號前0.0公尺西側,死亡1;受傷0,自用-小客車,120.361292,23.309723
110年01月09日 14時29分00秒,彰化縣彰化市下廍里自強路352號前0.0公尺前,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車;自用-小客車;自用-小客車,120.547814,24.091097
110年01月09日 15時45分00秒,臺南市新營區嘉芳里新運五路(近新運二路口),死亡1;受傷0,普通重型-機車,120.281829,23.310689
110年01月10日 03時15分05秒,苗栗縣銅鑼鄉國道1號 138公里700.0公尺處北側向外側,死亡1;受傷0,營業用-大貨車;自用-小客車;自用-小客車,120.782498,24.483412
110年01月10日 06時00分00秒,彰化縣社頭鄉橋頭村員集路3段263號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.581711,23.912492
110年01月10日 10時05分00秒,彰化縣和美鎮月眉里和港路307號前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.490688,24.127287
110年01月10日 11時13分00秒,臺中市大甲區德化里東西五路一段 / 臺中市大甲區德化里南北三路,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.626766,24.374901
110年01月10日 18時21分00秒,臺中市大里區西湖里草堤路229號前0.0公尺,死亡1;受傷0,自用-小客車,120.672991,24.081261
110年01月10日 20時39分00秒,彰化縣福興鄉外中村番花路1段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,120.480364,24.017853
110年01月11日 02時44分00秒,苗栗縣南庄鄉苗124乙線4.3公里處,死亡1;受傷0,自用-小客車;行人-人,120.999098,24.634867
110年01月11日 06時14分00秒,臺中市北屯區平和里文心路四段123號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車;自用-小客車,120.675193,24.173921
110年01月11日 12時40分36秒,宜蘭縣三星鄉台7甲線 6公里100.0公尺處東側向內側,死亡1;受傷2,自用-小貨車(含客、貨兩用);營業用-大貨車;乘客-人,121.507641,24.592609
110年01月11日 15時40分00秒,高雄市田寮區西德路 / 高雄市田寮區西德路,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,120.385789,22.880606
110年01月11日 18時57分00秒,高雄市大社區和平路1段118號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.301520,22.627160
110年01月12日 08時45分00秒,臺東縣卑南鄉明峰村牧場60號,死亡1;受傷0,普通重型-機車,121.112814,22.867121
110年01月12日 16時41分53秒,花蓮縣鳳林鎮花東公路口 / 花蓮縣鳳林鎮長橋路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車;乘客-人,121.419328,23.707251
110年01月12日 18時05分00秒,屏東縣恆春鎮恆春鎮恆東路與恆南路4巷路口,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.750790,22.004285
110年01月12日 19時58分00秒,臺中市西屯區上安里上安路86號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.640339,24.170972
