發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年02月17日 07時34分00秒,雲林縣斗六市明德北路西側 / 雲林縣斗六市文化路,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車,120.556821,23.712800
110年02月17日 22時42分00秒,雲林縣元長鄉龍岩村龍岩45之1號前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.318171,23.622583
110年02月18日 12時33分00秒,新竹縣新埔鎮楊新路1段318巷口,死亡1;受傷1,自用-小客車;普通重型-機車,121.087108,24.831138
110年02月19日 04時38分00秒,新北市五股區新北市五股區中興路與四維路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.441968,25.081495
110年02月19日 08時37分00秒,高雄市鳳山區經武路 / 高雄市鳳山區力行路,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.364568,22.639307
110年02月19日 10時16分00秒,臺中市外埔區大同里三環路 / 臺中市外埔區大同里三環路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.646815,24.328071
110年02月19日 13時30分41秒,宜蘭縣員山鄉坡城路51-26號前0.0公尺附近,死亡2;受傷1,自用-小客車;行人-人;行人-人;普通重型-機車,121.701291,24.779152
110年02月19日 15時46分00秒,新北市貢寮區新北市貢寮區臺2線道路113.2K,死亡1;受傷0,營業用-曳引車,121.944716,25.015890
110年02月19日 18時38分00秒,臺中市西屯區台灣大道三段,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.647665,24.164183
110年02月19日 19時46分58秒,雲林縣西螺鎮頂湳里145縣道台電電桿新社107A北側20公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.443936,23.774492
110年02月20日 03時58分12秒,臺南市北區成功路東側 / 臺南市北區金華路5段西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.196093,23.001476
110年02月20日 04時50分00秒,屏東縣春日鄉力里村南和橋上,死亡1;受傷1,普通重型-機車;乘客-人,120.645783,22.437344
110年02月20日 09時58分00秒,桃園市龍潭區中正路三坑段燈桿0302496處附近,死亡1;受傷0,普通重型-機車,121.247996,24.843865
110年02月20日 12時25分00秒,苗栗縣苑裡鎮130縣道(福田里37之1號前),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.676017,24.422765
110年02月20日 13時10分00秒,基隆市中正區基隆市中正區北寧路海洋大學工學館前,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,121.781361,25.149910
110年02月20日 18時17分00秒,臺南市東山區三榮里南314線6.7K,死亡1;受傷0,自用-小客車;普通重型-機車,120.387849,23.314019
110年02月20日 18時50分00秒,高雄市岡山區嘉峰路93號前0.0公尺,死亡1;受傷1,大型重型2(250-550C.C.)-機車;行人-人,120.312335,22.828214
110年02月20日 23時10分00秒,新北市樹林區新北市樹林區環漢路5段與四維路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.435191,24.995727
110年02月21日 02時35分56秒,臺南市東區林森路2段250號北側,死亡1;受傷0,普通重型-機車,120.223928,22.992099
110年02月21日 06時58分00秒,桃園市蘆竹區中正路南側 / 桃園市蘆竹區榮興路南側,死亡1;受傷0,自用-小客車;大型重型2(250-550C.C.)-機車,121.295625,25.041164
110年02月21日 07時25分55秒,雲林縣口湖鄉台61線 255公里800.0公尺處北側向內側,死亡2;受傷10,自用-小貨車(含客、貨兩用);自用-大貨車;自用-小貨車(含客、貨兩用);營業用-大貨車;乘客-人;自用-小客車;營業用-曳引車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-大貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;營業用-曳引車;自用-大貨車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.181360,23.518469
110年02月21日 14時23分00秒,新北市新店區新北市新店區北宜路3段210巷與北宜路3段北宜公路18.1K,死亡1;受傷1,普通重型-機車;大型重型2(250-550C.C.)-機車,121.590221,24.951395
110年02月21日 16時37分00秒,屏東縣萬丹鄉香社村萬新路口 / 屏東縣萬丹鄉香社村大勇路口,死亡1;受傷2,普通重型-機車;大型重型1(550C.C.以上)-機車;乘客-人,120.485722,22.555368
110年02月21日 18時37分56秒,雲林縣東勢鄉縣道158甲,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;乘客-人,120.271758,23.720417
110年02月21日 20時46分00秒,雲林縣斗六市文化路與引善路口,死亡1;受傷0,普通重型-機車,120.567973,23.716914
110年02月22日 04時00分00秒,臺中市清水區中社里鎮政路前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車,120.552338,24.270722
110年02月22日 11時39分00秒,臺南市永康區和平路189號,死亡1;受傷0,動力機械-其他車;普通重型-機車;自用-大貨車,120.266273,23.054024
110年02月23日 08時30分44秒,苗栗縣銅鑼鄉樟樹村竹圍32之1號,死亡1;受傷0,自用-大貨車;普通重型-機車,120.779234,24.448526
110年02月23日 09時08分00秒,新竹縣新豐鄉瑞興村5鄰崁頭90號,死亡2;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.014969,24.906912
110年02月23日 09時50分00秒,高雄市旗山區延平一路 / 高雄市旗山區中華路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.484779,22.882211
110年02月23日 11時46分47秒,臺南市北區北門路二段口 / 臺南市北區公園北路口,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.213530,23.003935
110年02月23日 18時18分00秒,新北市三峽區新北市三峽區佳興路與龍埔路,死亡1;受傷0,自用-大貨車;普通重型-機車,121.366667,24.933333
110年02月23日 19時43分00秒,高雄市旗山區旗甲路3段489號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.507700,22.941830
110年02月23日 21時20分00秒,桃園市蘆竹區中興路口 / 桃園市蘆竹區中興七街附近,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.261962,25.013106
110年02月24日 03時48分00秒,新北市新莊區新北市新莊區光明路221149燈桿前,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,121.491111,25.059126
110年02月24日 08時09分00秒,新竹縣新豐鄉竹2-1線0.5公里處,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車,121.010533,24.913160
110年02月24日 10時16分59秒,桃園市大園區橫峰里中山南路471號前0.0公尺附近,死亡1;受傷0,自用-小客車;普通輕型-機車;自用-小客車,121.205174,25.056205
110年02月24日 11時27分14秒,雲林縣麥寮鄉中興村工業路1500號前0.0公尺附近,死亡1;受傷0,自用-小客車;營業用-曳引車,120.219349,23.794209
110年02月24日 14時35分00秒,苗栗縣三灣鄉栗縣三灣鄉124乙縣道1.7公里處,死亡2;受傷2,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人,120.970384,24.643013
110年02月24日 17時15分00秒,桃園市桃園區建國路口 / 桃園市桃園區延平路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.314388,24.985619
110年02月24日 18時45分24秒,花蓮縣吉安鄉中央路1段口 / 花蓮縣吉安鄉福興六街口,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,121.597223,23.994353
110年02月24日 21時48分00秒,桃園市楊梅區楊湖路4段口 / 桃園市楊梅區上湖五路口,死亡1;受傷0,行人-人;自用-小客車,121.069675,24.911472
110年02月25日 06時18分11秒,雲林縣水林鄉水南村東陽街(路燈編號090912旁),死亡1;受傷1,自用-小客車;行人-人,120.246252,23.568296
110年02月25日 07時18分00秒,高雄市旗山區旗南二路 / 高雄市旗山區中寮一路,死亡1;受傷0,自用-小客車;普通重型-機車,120.466123,22.848450
110年02月25日 15時32分33秒,新竹縣湖口鄉光復北路口 / 新竹縣湖口鄉工業三路口,死亡1;受傷0,營業用-曳引車;其他人-人,121.018059,24.866034
110年02月26日 08時01分00秒,臺南市七股區大潭里省道臺17線口 / 臺南市七股區大潭里區道南30線口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.133111,23.185111
110年02月26日 12時03分48秒,桃園市蘆竹區海山路1段340號前0.0公尺,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,121.263319,25.097408
110年02月27日 04時30分00秒,桃園市桃園區中山路827號前0.0公尺,死亡1;受傷2,行人-人;普通重型-機車;普通重型-機車,121.288277,24.989660
110年02月27日 04時40分00秒,雲林縣褒忠鄉新湖村新湖路26-4號前,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.289446,23.710711
110年02月27日 05時48分25秒,花蓮縣新城鄉順安村北三棧119之1號前,死亡1;受傷0,行人-人;自用-小客車,121.633498,24.113543
110年02月27日 08時38分00秒,高雄市鳥松區國道1號 364公里300.0公尺處南側向內側,死亡1;受傷3,營業用-半聯結車;自用-小貨車(含客、貨兩用);營業用-曳引車;乘客-人;乘客-人;乘客-人,120.335437,22.650917
110年02月27日 12時39分00秒,新北市三重區新北市三重區忠孝路1段與自強路3段,死亡1;受傷0,自用-小客車;普通重型-機車,121.490210,25.071872
110年02月27日 17時24分00秒,臺東縣卑南鄉民生路口 / 臺東縣卑南鄉和平路口,死亡1;受傷1,普通重型-機車;乘客-人,121.100259,22.779518
110年02月27日 23時52分00秒,高雄市美濃區廣興街86號前0.0公尺前,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人,120.570200,22.917530
110年02月28日 00時34分00秒,臺中市神岡區北庄里中山路1011號前0.0公尺,死亡1;受傷4,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,120.672238,24.255238
110年02月28日 10時28分00秒,臺中市新社區中和里豐埔產業道路前0.0公尺,死亡1;受傷0,自用-小客車;大型重型2(250-550C.C.)-機車,120.834061,24.172808
110年02月28日 13時37分00秒,花蓮縣富里鄉台9線 298公里750.0公尺處,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.250129,23.184132
110年02月28日 13時41分00秒,嘉義縣太保市新埤里台18線3公里200公尺處西向,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用),120.344219,23.479904
110年02月28日 14時40分00秒,桃園市中壢區高鐵南路5段東側 / 桃園市中壢區松仁路口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,121.165330,24.963705
110年02月28日 21時05分33秒,苗栗縣竹南鎮國道3號竹南段橋下的8號涵洞的西往東產業道路上,死亡1;受傷0,普通重型-機車,120.848546,24.684443
110年03月01日 01時29分00秒,臺北市大安區和平東路1段 / 臺北市大安區新生南路2段,死亡1;受傷0,自用-小客車;普通重型-機車,121.534777,25.026071
110年03月01日 18時17分04秒,花蓮縣花蓮市華西路與193線道口附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.629768,24.024055
110年03月02日 05時56分00秒,臺中市大里區永隆里大明路476號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,120.675865,24.114946
110年03月02日 06時00分00秒,臺中市梧棲區中正里文化路二段117號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.530339,24.254969
110年03月02日 10時14分00秒,臺中市北屯區水景里軍功路一段303號前0.0公尺,死亡1;受傷3,自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,120.717372,24.167241
110年03月02日 12時59分00秒,臺南市七股區大埕里大埕65號附近,死亡1;受傷0,普通重型-機車,120.150974,23.149554
110年03月02日 14時48分00秒,屏東縣恆春鎮草埔路段,死亡1;受傷1,普通重型-機車;乘客-人,120.732865,22.015166
110年03月02日 16時00分00秒,高雄市三民區建國一路 / 高雄市三民區民族一路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.318832,22.640090
110年03月02日 17時14分38秒,嘉義縣新港鄉大潭村164線與嘉85鄉道口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.365414,23.555628
110年03月02日 22時30分00秒,臺中市大里區新里里德芳路二段167號前0.0公尺,死亡1;受傷0,行人-人;民營客運-大客車,120.676383,24.103138
110年03月02日 23時10分44秒,新竹縣新豐鄉建興路2段657號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車;自用-小客車,120.987113,24.897153
110年03月03日 07時48分00秒,臺中市烏日區中山路三段1183號前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.589140,24.113335
110年03月03日 09時32分00秒,彰化縣永靖鄉港西村中山路1段708號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;自用-大貨車,120.544928,23.915293
110年03月03日 17時13分18秒,臺南市後壁區長短樹里南80線頂長高幹33前,死亡1;受傷0,普通重型-機車;自用-小客車,120.319442,23.360567
110年03月03日 17時30分00秒,高雄市三民區鼎力路 / 高雄市三民區天祥一路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.322184,22.666947
110年03月03日 20時38分00秒,新北市五股區新北市五股區四維路與國道路3段,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,121.467370,25.073427
110年03月04日 07時09分00秒,桃園市大園區許厝港路口 / 桃園市大園區潮音二路口,死亡1;受傷0,自用-大貨車;普通重型-機車,121.170082,25.077525
110年03月04日 17時26分00秒,高雄市苓雅區中正一路 / 高雄市苓雅區高速公路西側便道,死亡1;受傷0,自用-小客車;普通重型-機車,120.331817,22.628148
110年03月04日 18時22分00秒,臺東縣臺東市中華路2段口 / 臺東縣臺東市衡陽路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.133513,22.742034
110年03月04日 23時00分39秒,宜蘭縣頭城鎮環鎮東路二段與大武路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車;自用-小客車,121.831230,24.864267
110年03月05日 03時14分00秒,臺北市大同區延平北路3段 / 臺北市大同區民權西路,死亡1;受傷1,普通重型-機車;行人-人,121.511220,25.062788
110年03月05日 04時00分00秒,臺北市信義區忠孝東路4段 / 臺北市信義區基隆路1段,死亡1;受傷1,普通重型-機車;行人-人,121.564400,25.041240
110年03月05日 08時11分00秒,臺東縣鹿野鄉永安村福鹿路138巷與福鹿路路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.122181,22.933894
110年03月05日 09時49分00秒,高雄市大社區和平路1段 / 高雄市大社區和平路1段,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.361410,22.735629
110年03月05日 15時34分00秒,桃園市大溪區康莊路3段附近 / 桃園市大溪區康莊路3段附近,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人,121.272334,24.840346
110年03月05日 17時24分00秒,臺中市南屯區楓樹里環中路五段 / 臺中市南屯區楓樹里精誠南路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.640331,24.116975
110年03月06日 00時59分59秒,桃園市八德區興豐路1151號前0.0公尺,死亡1;受傷0,普通重型-機車,121.305570,24.936677
110年03月06日 04時40分01秒,南投縣信義鄉投97 9公里300.0公尺處東側向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);乘客-人;乘客-人,120.987632,23.667976
110年03月06日 06時22分28秒,宜蘭縣員山鄉內城村八甲路台電電桿內城(96 R9R12L4 E8770 AD32)),死亡1;受傷0,普通重型-機車,121.696710,24.721733
110年03月06日 06時40分00秒,嘉義縣民雄鄉文隆村山腳1之78號前,死亡1;受傷1,自用-小客車;自用-小客車;行人-人,120.432671,23.533657
110年03月06日 10時10分32秒,雲林縣虎尾鎮虎興東二路與永興南七路口,死亡1;受傷0,營業用-大貨車;自用-小客車,120.420029,23.726251
110年03月06日 11時22分00秒,花蓮縣新城鄉台8線 187公里500.0公尺處西側向路肩,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.636724,24.136321
110年03月06日 13時39分00秒,澎湖縣西嶼鄉澎3號道與縣道203線岔路口(竹灣段),死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人;乘客-人,119.513771,23.616312
110年03月07日 02時58分00秒,澎湖縣馬公市西文里縣道204道路口 / 澎湖縣馬公市西文里新店路口,死亡1;受傷0,自用-小客車;普通重型-機車;乘客-人,119.587309,23.564898
110年03月07日 20時49分23秒,花蓮縣新城鄉台9線 180.5公里附近向機、慢車道,死亡1;受傷2,普通重型-機車;電動自行車-慢車;乘客-人,121.605842,24.055256
110年03月08日 10時02分00秒,彰化縣彰化市國聖里國聖路 / 彰化縣彰化市國聖里國聖路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.546078,24.057431
110年03月09日 00時50分00秒,臺中市霧峰區乾溪東路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.693021,24.058598
110年03月09日 08時25分00秒,臺中市霧峰區中正里四德路 / 臺中市霧峰區中正里林森路,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.695931,24.065745
110年03月09日 11時02分46秒,苗栗縣苑裡鎮苗140線編號日田幹165電桿前,死亡1;受傷0,普通重型-機車,120.692689,24.373358
110年03月09日 11時46分43秒,雲林縣二崙鄉大義村路燈130處路口,死亡1;受傷0,電動自行車-慢車;自用-小客車;乘客-人,120.385316,23.792957
110年03月09日 15時31分00秒,屏東縣長治鄉下寮巷(溪埔寮幹33R號前),死亡1;受傷0,普通重型-機車,120.540815,22.675335
110年03月09日 16時53分00秒,臺南市後壁區竹新里新厝26號前南78-線上(仕安高幹2號),死亡1;受傷0,普通重型-機車,120.308472,23.340629
110年03月09日 23時07分00秒,高雄市仁武區水管路竹後0044路燈號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.328873,22.706374
110年03月10日 10時30分10秒,臺南市東山區縣165線 16公里600.0公尺處南側向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.406976,23.328906
110年03月10日 13時55分17秒,臺南市關廟區國道3號 357公里北側向交流道,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.333961,22.971824
110年03月10日 16時41分00秒,新北市新莊區新北市新莊區重新堤外道路808241燈桿前往三重,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.453971,25.033547
110年03月10日 19時23分10秒,屏東縣里港鄉三和路102之4號前,死亡2;受傷0,自用-小客車;行人-人;行人-人;乘客-人,120.503502,22.810391
110年03月10日 23時41分00秒,屏東縣萬丹鄉萬丹路2段285號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.487016,22.607177
110年03月11日 06時35分00秒,臺南市西港區台19線 126公里500.0公尺處北側向四岔路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.196822,23.137139
110年03月11日 10時35分00秒,臺北市文山區羅斯福路4段 / 臺北市文山區基隆路4段,死亡1;受傷0,自用-小客車;行人-人,121.537085,25.010750
110年03月11日 17時24分00秒,南投縣鹿谷鄉投100  10.25公里處,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-曳引車;營業用-曳引車,120.770637,23.810669
110年03月11日 20時50分00秒,臺中市清水區中社里港埠路三段 / 臺中市清水區中社里中社路,死亡1;受傷1,營業用-大貨車;自用-小客車,120.547085,24.275491
110年03月12日 01時32分00秒,臺中市中區綠川里建國路 / 臺中市中區綠川里民族路,死亡1;受傷0,普通重型-機車,120.683316,24.136360
110年03月12日 11時35分40秒,雲林縣西螺鎮公館里156縣道20K往東50公尺處,死亡1;受傷0,自用-小貨車(含客、貨兩用);拼裝車-其他車,120.442383,23.747926
110年03月12日 12時40分13秒,新竹縣湖口鄉達生路口 / 新竹縣湖口鄉中正七街口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.043324,24.896586
110年03月12日 20時19分00秒,高雄市大社區中山路711號前0.0公尺前,死亡1;受傷2,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.366026,22.730079
110年03月13日 02時16分49秒,屏東縣鹽埔鄉民治路126之1號前,死亡1;受傷0,普通重型-機車,120.580293,22.726795
110年03月13日 02時50分48秒,桃園市楊梅區楊湖路1段94號前200.0公尺,死亡1;受傷0,自用-小客車,121.139371,24.909292
110年03月13日 04時43分57秒,臺南市龍崎區崎頂里新市子104號,死亡1;受傷0,普通重型-機車,120.364167,22.964307
110年03月13日 12時20分00秒,桃園市新屋區社子里興福路346巷53弄168號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.081527,24.964233
110年03月13日 14時20分39秒,桃園市龜山區長峰路36號前10.0公尺,死亡1;受傷0,腳踏自行車-慢車,121.341571,25.001575
110年03月13日 23時06分00秒,臺南市下營區宅內里中正北路口 / 臺南市下營區中正北路口,死亡1;受傷0,自用-小客車,120.258018,23.244882
110年03月14日 02時05分00秒,嘉義縣中埔鄉和美村忠義路與和美路口,死亡1;受傷1,普通重型-機車;自用-小客車,120.471521,23.458430
110年03月15日 02時15分00秒,臺東縣東河鄉台11線 147公里700.0公尺處北側向路肩,死亡1;受傷5,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,121.206248,22.864122
110年03月15日 04時33分00秒,彰化縣大村鄉平和村山腳路142-13號前0.0公尺前,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.578713,23.998580
110年03月15日 09時13分00秒,高雄市楠梓區村左楠路4號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.302392,22.709029
110年03月15日 11時45分00秒,臺中市清水區中山路 / 臺中市清水區文化路,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,120.573685,24.264311
110年03月15日 12時00分00秒,臺中市大里區夏田里環河路一段408號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.670578,24.083935
110年03月15日 14時19分19秒,南投縣埔里鎮中山路四段106號旁,死亡1;受傷0,拼裝車-其他車;行人-人,120.932747,23.967181
110年03月15日 15時21分17秒,雲林縣北港鎮草湖里台19線公路與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.307118,23.610451
110年03月15日 20時49分00秒,臺中市北屯區三光里太原路三段 / 臺中市北屯區三光里九龍街,死亡1;受傷1,電動輔助自行車-慢車;普通重型-機車,120.695365,24.164937
110年03月16日 06時58分59秒,新竹縣新埔鎮文山里文山路口 / 新竹縣新埔鎮文山里陽明街口,死亡1;受傷1,普通重型-機車;行人-人,121.034552,24.830958
110年03月16日 07時26分00秒,苗栗縣苑裡鎮台一線141.9K處南下車道,死亡1;受傷0,普通重型-機車,120.644628,24.435238
110年03月16日 09時34分00秒,臺北市文山區興隆路3段 / 臺北市文山區萬芳路,死亡1;受傷0,民營客運-大客車;行人-人,121.560044,24.996802
110年03月16日 10時55分00秒,臺南市東山區聖賢里區道南314線附近 / 臺南市東山區聖賢里區道南102線附近,死亡1;受傷0,普通重型-機車,120.357309,23.309714
110年03月16日 11時13分00秒,高雄市岡山區鵬程路 / 高雄市岡山區鵬程西街,死亡1;受傷0,自用-小客車;普通重型-機車,120.296055,22.789302
110年03月16日 16時19分50秒,宜蘭縣蘇澳鎮台9線 114公里700.0公尺處北側,死亡6;受傷39,遊覽車-大客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,121.832546,24.507860
110年03月16日 17時35分00秒,高雄市美濃區清水街 / 高雄市美濃區八德街,死亡1;受傷0,自用-小客車;普通重型-機車,120.527500,22.860750
110年03月16日 17時37分15秒,臺南市麻豆區井東里安業113號前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.247074,23.160886
110年03月16日 19時06分07秒,宜蘭縣三星鄉尚貴路一段219號 往東80公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.708792,24.693859
110年03月17日 05時28分00秒,屏東縣長治鄉中興路與光華巷口前,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,120.533334,22.690554
110年03月17日 08時21分00秒,彰化縣福興鄉大崙村大崙街13-23號前20.0公尺北側,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.475589,24.039576
110年03月17日 09時49分00秒,臺中市烏日區光明里五光路復光三巷157號前0.0公尺,死亡1;受傷0,動力機械-其他車;普通重型-機車;營業用-大貨車,120.640818,24.100371
110年03月17日 11時34分00秒,雲林縣虎尾鎮墾地里學府二路與科園路口,死亡1;受傷1,普通重型-機車;自用-小客車,120.413202,23.741815
110年03月17日 18時27分27秒,苗栗縣獅潭鄉台3線 110公里800.0公尺處北側向內側,死亡1;受傷0,自用-小客車;行人-人,120.931642,24.562266
110年03月17日 19時26分00秒,彰化縣埔心鄉舊舘村中正路2段155號前0.0公尺前,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用);乘客-人,120.523755,23.949288
110年03月17日 20時38分28秒,雲林縣口湖鄉台子村台興路,死亡1;受傷0,普通重型-機車,120.143870,23.565887
110年03月18日 03時57分00秒,臺中市南區崇倫里三民西路 / 臺中市南區崇倫里東興路,死亡1;受傷2,自用-小客車;營業用-小貨車(含客、貨兩用);乘客-人,120.653263,24.128829
110年03月18日 11時19分00秒,新北市新店區新北市新店區安業街與安利街旁,死亡1;受傷1,普通重型-機車;普通重型-機車,121.521187,24.974137
110年03月18日 11時56分00秒,嘉義縣水上鄉粗溪村台1線274公里100公尺處北向車道,死亡2;受傷2,自用-小客車;自用-小客車;自用-小客車;普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.399771,23.435194
110年03月18日 21時11分00秒,新北市新莊區新北市新莊區新北大道7段與壽山路,死亡1;受傷1,大型重型1(550C.C.以上)-機車;自用-小客車,121.412075,25.028492
110年03月19日 07時32分00秒,苗栗縣苗栗市文發路、文發路255巷口,死亡1;受傷0,自用-小客車;行人-人,120.811976,24.573749
110年03月19日 08時33分00秒,高雄市大樹區興田路興田0205燈桿號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.301520,22.627160
110年03月19日 12時30分00秒,嘉義縣番路鄉草山村台三線313公里500公尺處,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.613456,23.379417
110年03月19日 15時03分00秒,新北市樹林區新北市樹林區柑園街2段175巷與佳園路3段68巷,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.380898,24.951979
110年03月19日 16時42分00秒,宜蘭縣蘇澳鎮中山路2段口 / 宜蘭縣蘇澳鎮中山路2段口,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.834269,24.603032
110年03月19日 16時46分00秒,高雄市大社區光華路 / 高雄市大社區保舍甲路,死亡1;受傷0,普通重型-機車;普通重型-機車,120.347548,22.746606
110年03月20日 05時40分12秒,苗栗縣後龍鎮台6線 500.0公尺處西側,死亡1;受傷0,行人-人;自用-小客車;乘客-人,120.780618,24.601395
110年03月20日 11時14分00秒,臺中市北區育德里中清路 / 臺中市北區育德里育德路,死亡1;受傷0,自用-小客車;普通重型-機車,120.676246,24.157489
110年03月20日 11時42分00秒,桃園市新屋區下埔里文化路三段南下車道50.8K附近(永安所;Q110030367),死亡1;受傷0,電動自行車-慢車;自用-小客車,121.047216,25.010155
110年03月20日 14時03分00秒,臺中市梧棲區北上153K處,死亡3;受傷0,營業用-大貨車;自用-小客車;乘客-人;乘客-人,120.538758,24.255833
110年03月20日 14時48分22秒,桃園市八德區長興路350-5號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,121.276621,24.931638
110年03月20日 23時46分08秒,臺南市安南區台江大道二段(近工明五路口),死亡1;受傷0,自用-小客車,120.203844,23.058390
110年03月21日 03時55分00秒,高雄市仁武區高楠公路62號前0.0公尺,死亡1;受傷0,普通重型-機車,120.323793,22.701434
